,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,0,0,0,0,0,0
13/05/2023,0.016667,0,0,0,0,0
13/05/2023,0.225301,0,0,0,0,0
13/05/2023,0.250636,0,0,0,0,0
13/05/2023,0.283951,0,0,0,0,0
13/05/2023,0.300618,0,0,0,0,0
13/05/2023,0.317284,0,0,0,0,0
13/05/2023,0.333951,0,0,0,0,0
13/05/2023,0.350618,0,0,0,0,0
13/05/2023,0.367285,0,0,0,0,0
13/05/2023,0.383952,0,0,0,0,0
13/05/2023,0.400618,0,0,0,0,0
13/05/2023,0.417285,0,0,0,0,0
13/05/2023,0.433952,0,0,0,0,0
13/05/2023,0.450618,0,0,0,0,0
13/05/2023,0.467285,0,0,0,0,0
13/05/2023,0.483952,0,0,0,0,0
13/05/2023,0.500619,0,0,0,0,0
13/05/2023,0.517286,0,0,0,0,0
13/05/2023,0.533952,0,0,0,0,0
13/05/2023,0.550619,0,0,0,0,0
13/05/2023,0.567286,0,0,0,0,0
13/05/2023,0.583952,0,0,0,0,0
13/05/2023,0.600619,0,0,0,0,0
13/05/2023,0.617286,0,0,0,0,0
13/05/2023,0.633953,0,0,0,0,0
13/05/2023,0.650619,0,0,0,0,0
13/05/2023,0.667286,0,0,0,0,0
13/05/2023,0.683953,0,0,0,0,0
13/05/2023,0.70062,0,0,0,0,0
13/05/2023,0.717286,0,0,0,0,0
13/05/2023,0.733953,0,0,0,0,0
13/05/2023,0.75062,0,0,0,0,0
13/05/2023,0.767287,0,0,0,0,0
13/05/2023,0.783953,0,0,0,0,0
13/05/2023,0.80062,0,0,0,0,0
13/05/2023,0.817287,0,0,0,0,0
13/05/2023,0.833954,0,0,0,0,0
13/05/2023,0.850621,0,0,0,0,0
13/05/2023,0.867287,0,0,0,0,0
13/05/2023,0.883954,0,0,0,0,0
13/05/2023,0.900621,0,0,1781.700718,219.904596,367.989195
13/05/2023,0.917288,0,65.34287,2075.599714,631.655486,897.37994
13/05/2023,0.933954,0,182.985877,2369.43203,1043.387499,1426.74036
13/05/2023,0.950621,0,300.624131,2663.182257,1455.084124,1956.052585
13/05/2023,0.967288,0,418.250801,2956.840664,1866.731572,2485.301727
13/05/2023,0.983955,0,535.864008,3250.400881,2278.313482,3014.466749
13/05/2023,1.000622,0,653.459079,3543.849404,2689.81828,3543.532768
13/05/2023,1.017288,0,771.032032,3837.177771,3101.23189,4072.476012
13/05/2023,1.033955,0,888.578173,4130.37794,3512.540534,4601.278011
13/05/2023,1.050622,0,1006.094995,4423.438308,3923.730291,5129.933725
13/05/2023,1.067289,0,1123.577681,4716.348958,4334.787244,5658.406355
13/05/2023,1.083956,0,1241.023092,5009.0983,4745.699831,6186.687845
13/05/2023,1.100622,0,1358.426499,5301.680194,5156.452085,6714.762582
